question,ground_truth_answer,predicted_answer,relevant_doc_ids,retrieved_doc_ids
"What is attention mechanism in transformers?","The attention mechanism allows the model to focus on different parts of the input sequence when producing an output, using queries, keys, and values to compute weighted representations.","Attention mechanism in transformers enables the model to weigh the importance of different input tokens when generating output, computed through query-key-value dot products.","doc_1,doc_3,doc_5","doc_1,doc_5,doc_7,doc_3,doc_9"
"What is BERT?","BERT (Bidirectional Encoder Representations from Transformers) is a pre-trained language model that uses bidirectional context to understand language, trained with masked language modeling and next sentence prediction.","BERT is a transformer-based model that reads text bidirectionally. It is pre-trained using masked language modeling.","doc_2,doc_4","doc_2,doc_6,doc_4,doc_8,doc_10"
"How does RAG work?","Retrieval-Augmented Generation (RAG) combines a retriever that fetches relevant documents from a knowledge base with a generator (LLM) that produces answers conditioned on both the query and the retrieved context.","RAG retrieves relevant documents from a vector database and feeds them as context to a language model to generate grounded answers.","doc_5,doc_6,doc_7","doc_5,doc_7,doc_11,doc_6,doc_12"
"What is cosine similarity?","Cosine similarity measures the cosine of the angle between two vectors, producing a value between -1 and 1, where 1 means identical direction.","Cosine similarity is a metric that calculates how similar two vectors are by computing the cosine of the angle between them.","doc_8,doc_9","doc_9,doc_13,doc_8,doc_14,doc_15"
"Explain word embeddings.","Word embeddings are dense vector representations of words in a continuous vector space, where semantically similar words are mapped to nearby points. Popular methods include Word2Vec, GloVe, and FastText.","Word embeddings represent words as dense vectors in a high-dimensional space where similar words have similar vectors.","doc_10,doc_11","doc_10,doc_16,doc_17,doc_11,doc_18"
"What is a confusion matrix?","A confusion matrix is a table that summarizes the performance of a classification algorithm by showing true positives, true negatives, false positives, and false negatives.","A confusion matrix is a performance measurement table for classification models showing TP, TN, FP, and FN counts.","doc_12,doc_13","doc_12,doc_19,doc_13,doc_20,doc_21"
"What is transfer learning?","Transfer learning is a machine learning technique where a model trained on one task is reused as the starting point for a model on a different but related task, reducing training time and data requirements.","Transfer learning reuses a pre-trained model on a new related task to save training time and improve performance with limited data.","doc_14,doc_15","doc_14,doc_22,doc_15,doc_23,doc_24"
"What are GANs?","Generative Adversarial Networks (GANs) consist of two neural networks — a generator and a discriminator — that compete against each other. The generator creates fake data and the discriminator tries to distinguish real from fake.","GANs are a type of generative model where a generator produces synthetic data and a discriminator evaluates whether the data is real or generated.","doc_16,doc_17","doc_16,doc_25,doc_26,doc_17,doc_27"
"What is the Transformer architecture?","The Transformer architecture uses self-attention mechanisms and positional encodings instead of recurrence, enabling parallel processing of sequences. It consists of encoder and decoder stacks with multi-head attention layers.","The Transformer replaces recurrence with self-attention for parallel sequence processing, consisting of stacked encoder-decoder layers with multi-head attention.","doc_1,doc_18,doc_19","doc_1,doc_18,doc_28,doc_19,doc_29"
"What is few-shot learning?","Few-shot learning enables models to learn new tasks from very few examples, often by leveraging prior knowledge or meta-learning strategies to generalize quickly.","Few-shot learning allows a model to generalize to new classes with only a handful of training examples.","doc_20,doc_21","doc_30,doc_31,doc_20,doc_32,doc_21"
